Intersection_Name,Cycle,Phase_NS,Phase_EW
32THN,42,56,56
304NVL,42,10,102
32NVL,42,102,10
32MT,42,30,82
NVCMT,43,56,56
304THN,43,56,56
NVCNVL,43,56,56
NVCCMT8,43,56,56
32THN,43,56,56
304NVL,43,10,102
32NVL,43,102,10
32MT,43,20,92
NVCMT,44,56,56
304THN,44,56,56
NVCNVL,44,10,102
NVCCMT8,44,56,56
32THN,44,56,56
304NVL,44,33,79
32NVL,44,12,100
32MT,44,56,56
NVCMT,45,56,56
304THN,45,56,56
NVCNVL,45,10,102
NVCCMT8,45,56,56
32THN,45,56,56
304NVL,45,10,102
32NVL,45,102,10
32MT,45,39,73
NVCMT,46,56,56
304THN,46,56,56
NVCNVL,46,56,56
NVCCMT8,46,56,56
32THN,46,56,56
304NVL,46,10,102
32NVL,46,102,10
32MT,46,21,91
NVCMT,47,56,56
304THN,47,56,56
NVCNVL,47,10,102
NVCCMT8,47,56,56
32THN,47,56,56
304NVL,47,56,56
32NVL,47,10,102
32MT,47,56,56
NVCMT,48,56,56
304THN,48,56,56
NVCNVL,48,10,102
NVCCMT8,48,56,56
32THN,48,10,102
304NVL,48,10,102
32NVL,48,102,10
32MT,48,23,89
NVCMT,49,56,56
304THN,49,56,56
NVCNVL,49,56,56
NVCCMT8,49,56,56
32THN,49,56,56
304NVL,49,31,81
32NVL,49,98,14
32MT,49,56,56
NVCMT,50,56,56
304THN,50,56,56
NVCNVL,50,10,102
NVCCMT8,50,56,56
32THN,50,56,56
304NVL,50,10,102
32NVL,50,102,10
32MT,50,10,102
NVCMT,51,56,56
304THN,51,56,56
NVCNVL,51,56,56
NVCCMT8,51,56,56
32THN,51,56,56
304NVL,51,38,74
32NVL,51,10,102
32MT,51,45,67
NVCMT,52,56,56
304THN,52,56,56
NVCNVL,52,10,102
NVCCMT8,52,56,56
32THN,52,56,56
304NVL,52,10,102
32NVL,52,102,10
32MT,52,42,70
NVCMT,53,56,56
304THN,53,56,56
NVCNVL,53,56,56
NVCCMT8,53,56,56
32THN,53,56,56
304NVL,53,10,102
32NVL,53,88,24
32MT,53,47,65
NVCMT,54,56,56
304THN,54,56,56
NVCNVL,54,10,102
NVCCMT8,54,56,56
32THN,54,56,56
304NVL,54,10,102
32NVL,54,102,10
32MT,54,84,28
NVCMT,55,56,56
304THN,55,56,56
NVCNVL,55,56,56
NVCCMT8,55,56,56
32THN,55,56,56
304NVL,55,10,102
32NVL,55,102,10
32MT,55,21,91
NVCMT,56,56,56
304THN,56,56,56
NVCNVL,56,10,102
NVCCMT8,56,56,56
32THN,56,56,56
304NVL,56,10,102
32NVL,56,102,10
32MT,56,41,71
NVCMT,57,56,56
304THN,57,56,56
NVCNVL,57,56,56
NVCCMT8,57,56,56
32THN,57,56,56
304NVL,57,20,92
32NVL,57,102,10
32MT,57,40,72
NVCMT,58,56,56
304THN,58,56,56
NVCNVL,58,10,102
NVCCMT8,58,56,56
32THN,58,56,56
304NVL,58,10,102
32NVL,58,63,49
32MT,58,56,56
NVCMT,59,10,102
304THN,59,56,56
NVCNVL,59,56,56
NVCCMT8,59,56,56
32THN,59,56,56
304NVL,59,29,83
32NVL,59,102,10
32MT,59,26,86
NVCMT,60,102,10
304THN,60,56,56
NVCNVL,60,10,102
NVCCMT8,60,56,56
32THN,60,56,56
304NVL,60,10,102
32NVL,60,102,10
32MT,60,10,102
NVCMT,61,56,56
304THN,61,56,56
NVCNVL,61,56,56
NVCCMT8,61,56,56
32THN,61,56,56
304NVL,61,26,86
32NVL,61,54,58
32MT,61,51,61
NVCMT,62,102,10
304THN,62,56,56
NVCNVL,62,10,102
NVCCMT8,62,56,56
32THN,62,56,56
304NVL,62,10,102
32NVL,62,102,10
32MT,62,10,102
NVCMT,63,56,56
304THN,63,56,56
NVCNVL,63,10,102
NVCCMT8,63,56,56
32THN,63,56,56
304NVL,63,10,102
32NVL,63,88,24
32MT,63,102,10
NVCMT,64,10,102
304THN,64,56,56
NVCNVL,64,56,56
NVCCMT8,64,56,56
32THN,64,56,56
304NVL,64,10,102
32NVL,64,102,10
32MT,64,17,95
