Intersection_Name,Cycle,Phase_NS,Phase_EW
NVCMT,46,56,56
304THN,46,56,56
NVCNVL,46,56,56
NVCCMT8,46,56,56
32THN,46,56,56
32NVL,46,102,10
304NVL,46,10,102
32MT,46,46,66
NVCMT,47,56,56
304THN,47,56,56
NVCNVL,47,56,56
NVCCMT8,47,56,56
32THN,47,56,56
32NVL,47,102,10
304NVL,47,10,102
32MT,47,21,91
NVCMT,48,10,102
304THN,48,56,56
NVCNVL,48,56,56
NVCCMT8,48,56,56
32THN,48,56,56
32NVL,48,102,10
304NVL,48,10,102
32MT,48,56,56
NVCMT,49,56,56
304THN,49,56,56
NVCNVL,49,56,56
NVCCMT8,49,56,56
32THN,49,56,56
32NVL,49,102,10
304NVL,49,10,102
32MT,49,26,86
NVCMT,50,56,56
304THN,50,56,56
NVCNVL,50,10,102
NVCCMT8,50,56,56
32THN,50,10,102
32NVL,50,56,56
304NVL,50,30,82
32MT,50,22,90
NVCMT,51,56,56
304THN,51,56,56
NVCNVL,51,56,56
NVCCMT8,51,56,56
32THN,51,56,56
32NVL,51,71,41
304NVL,51,10,102
32MT,51,48,64
NVCMT,52,56,56
304THN,52,56,56
NVCNVL,52,10,102
NVCCMT8,52,56,56
32THN,52,56,56
32NVL,52,102,10
304NVL,52,10,102
32MT,52,35,77
NVCMT,53,56,56
304THN,53,56,56
NVCNVL,53,56,56
NVCCMT8,53,56,56
32THN,53,56,56
32NVL,53,102,10
304NVL,53,10,102
32MT,53,19,93
NVCMT,54,56,56
304THN,54,56,56
NVCNVL,54,10,102
NVCCMT8,54,56,56
32THN,54,56,56
32NVL,54,102,10
304NVL,54,10,102
32MT,54,56,56
NVCMT,55,56,56
304THN,55,56,56
NVCNVL,55,56,56
NVCCMT8,55,56,56
32THN,55,56,56
32NVL,55,27,85
304NVL,55,20,92
32MT,55,78,34
NVCMT,56,56,56
304THN,56,56,56
NVCNVL,56,10,102
NVCCMT8,56,56,56
32THN,56,56,56
32NVL,56,102,10
304NVL,56,10,102
32MT,56,11,101
NVCMT,57,56,56
304THN,57,56,56
NVCNVL,57,56,56
NVCCMT8,57,56,56
32THN,57,56,56
32NVL,57,26,86
304NVL,57,10,102
32MT,57,56,56
NVCMT,58,56,56
304THN,58,56,56
NVCNVL,58,10,102
NVCCMT8,58,56,56
32THN,58,56,56
32NVL,58,102,10
304NVL,58,10,102
32MT,58,49,63
NVCMT,59,56,56
304THN,59,56,56
NVCNVL,59,56,56
NVCCMT8,59,56,56
32THN,59,56,56
32NVL,59,102,10
304NVL,59,10,102
32MT,59,26,86
NVCMT,60,56,56
304THN,60,56,56
NVCNVL,60,56,56
NVCCMT8,60,56,56
32THN,60,56,56
32NVL,60,49,63
304NVL,60,10,102
32MT,60,56,56
NVCMT,61,56,56
304THN,61,56,56
NVCNVL,61,10,102
NVCCMT8,61,56,56
32THN,61,56,56
32NVL,61,102,10
304NVL,61,10,102
32MT,61,50,62
NVCMT,62,56,56
304THN,62,56,56
NVCNVL,62,56,56
NVCCMT8,62,56,56
32THN,62,56,56
32NVL,62,38,74
304NVL,62,25,87
32MT,62,56,56
NVCMT,63,56,56
304THN,63,56,56
NVCNVL,63,56,56
NVCCMT8,63,56,56
32THN,63,56,56
32NVL,63,102,10
304NVL,63,10,102
32MT,63,16,96
NVCMT,64,56,56
304THN,64,56,56
NVCNVL,64,10,102
NVCCMT8,64,56,56
32THN,64,56,56
32NVL,64,73,39
304NVL,64,10,102
32MT,64,56,56
